Country,Name,Age,PlayingRole,BattingStyle,BowlingStyle,Matches,Innings,Notout,Runs,HighestScore,BattingAvg,BallsFaced,StrikeRate,Hundreds,Fiftys,Fours,Sixs,Matches,Innings,BallsBowled,Runs,Wickets,BBI,BBW,BowlingAvg,Economy,StrikeRate
Pakistan,Kamran Akmal,36,Wicketkeeper batsman,Right-hand bat,_,58,53,6,987,73,21.00,825,119.63,0,5,100,31,58,-,-,-,-,-,-,-,-,-
Pakistan,Khalid Latif,33,Top-order batsman,Right-hand bat,Right-arm offbreak,13,13,2,237,59*,21.54,229,103.49,0,1,25,6,13,-,-,-,-,-,-,-,-,-
Pakistan,Mohammad Amir,26,Bowler,Left-hand bat,Left-arm fast,41,10,4,44,21*,7.33,57,77.19,0,0,1,2,41,41,912,1039,52,4/13,4/13,19.98,6.83,17.5
Pakistan,Mohammad Hafeez,38,Allrounder,Right-hand bat,Right-arm offbreak,89,86,8,1908,86,24.46,1643,116.12,0,10,196,51,89,67,1117,1226,54,4/10,4/10,22.70,6.58,20.6
Pakistan,Mohammad Nawaz,24,Allrounder,Left-hand bat,Slow left-arm orthodox,16,2,0,13,7,6.50,20,65.00,0,0,1,0,16,16,300,340,12,2/11,2/11,28.33,6.80,25.0
Pakistan,Mohammad Rizwan,26,Batsman,Right-hand bat,_,10,7,1,106,33*,17.66,109,97.24,0,0,9,1,10,-,-,-,-,-,-,-,-,-
Pakistan,Rumman Raees,27,Bowler,Right-hand bat,Left-arm medium-fast,8,1,1,0,0*,-,0,-,0,0,0,0,8,8,173,220,8,2/24,2/24,27.50,7.63,21.6
Pakistan,Sahibzada Farhan,22,Middle-order batsman,Right-hand bat,_,3,3,0,40,39,13.33,46,86.95,0,0,2,3,3,-,-,-,-,-,-,-,-,-
Pakistan,Sarfraz Ahmed,31,Wicketkeeper batsman,Right-hand bat,_,54,38,12,745,89*,28.65,579,128.67,0,3,74,14,54,-,-,-,-,-,-,-,-,-
Pakistan,Shadab Khan,20,Allrounder,Right-hand bat,Legbreak,29,8,2,86,29,14.33,68,126.47,0,0,4,3,29,29,657,721,42,4/14,4/14,17.16,6.58,15.6
Pakistan,Shaheen Afridi,18,Bowler,Left-hand bat,Left-arm medium,7,-,-,-,-,-,-,-,-,-,-,-,7,7,156,203,11,3/20,3/20,18.45,7.80,14.1
Pakistan,Sharjeel Khan,29,Opening batsman,Left-hand bat,Legbreak,15,15,0,360,59,24.00,262,137.40,0,2,48,13,15,-,-,-,-,-,-,-,-,-
Pakistan,Shoaib Malik,36,Middle-order batsman,Right-hand bat,Right-arm offbreak,108,101,30,2190,75,30.84,1773,123.51,0,7,178,60,108,45,534,632,28,2/7,2/7,22.57,7.10,19.0
Pakistan,Sohail Khan,34,Bowler,Right-hand bat,Right-arm fast-medium,5,1,1,1,1*,-,1,100.00,0,0,0,0,5,5,90,123,5,2/13,2/13,24.60,8.20,18.0
Pakistan,Sohail Tanvir,33,Bowler,Left-hand bat,Left-arm medium-fast,57,25,8,196,41,11.52,164,119.51,0,0,16,9,57,57,1214,1454,54,3/12,3/12,26.92,7.18,22.4
Pakistan,Umar Akmal,28,Middle-order batsman,Right-hand bat,_,82,77,14,1690,94,26.82,1375,122.90,0,8,122,55,82,-,-,-,-,-,-,-,-,-
Pakistan,Umar Amin,29,Top-order batsman,Left-hand bat,Right-arm medium,14,9,0,142,47,15.77,123,115.44,0,0,15,4,14,-,-,-,-,-,-,-,-,-
Pakistan,Usman Shinwari,24,Bowler,Right-hand bat,Left-arm medium-fast,13,2,2,2,2*,-,3,66.66,0,0,0,0,13,13,234,287,10,2/4,2/4,28.70,7.35,23.4
